NAME,COLORS,LINK,COMMANDERS,STRATEGIES,AUTHORS,UPDATED,LIST STATUS
RandT Ad Naus,WBR,https://www.moxfield.com/decks/CLmp0guMkUCsEkGeCRWiOQ,"Tymna the Weaver | Rograkh, Son of Rohgahh",PROACTIVE,TimmyT1000,06/28/2021,Active
Double Kodama,UG,https://www.moxfield.com/decks/VzSM_PXngk-F9WeswnioVQ,Kodama of the East Tree | Sakashima of a Thousand Faces,PROACTIVE,TimmyT1000,06/28/2021,Active
Kinnan Twister Loop,UG,https://www.moxfield.com/decks/dGE4Lg1_YUCtl34JaKzv_Q,"Kinnan, Bonder Prodigy",PROACTIVE,warddav16,06/08/2021,Active
Speed Reader,WUBRG,https://www.moxfield.com/decks/IRUg-wI-ekCk26q7OFpGTw,"Codie, Vociferous Codex",PROACTIVE,BeyondTheMachina,06/07/2021,Active
Highlife,URG,https://www.moxfield.com/decks/KWFdaUzwp0a28tlgb2VCLw,"Thrasios, Triton Hero | Krark, the Thumbless",PROACTIVE,deak,05/10/2021,Active
Animar,URG,https://www.moxfield.com/decks/I--GswgeiUmzDYT6974o8w,"Animar, Soul of Elements",PROACTIVE,MariottHotel,05/26/2021,Active
"Belbudget, Ad Naus",BG,https://www.moxfield.com/decks/eT37qUXL60yTJ3aoeun7_Q,"Belbe, Corrupted Observer",PROACTIVE,Zehill,06/03/2021,Active
Edric Turns,UG,https://www.moxfield.com/decks/2LkYBUF9lEGJm-yjpNhJKg,"Edric, Spymaster of Trest",PROACTIVE,Ljulianm,05/03/2021,Active
Elsha,WUR,https://www.moxfield.com/decks/4iN-Ixhom0iE9kRGokSqOQ,Elsha of the Infinite,ADAPTIVE,"Deez Nutz, FlashAndretti, Jamaican_dude",05/03/2021,Active
Godo Helm,R,https://www.moxfield.com/decks/I49HPnRUYU2C4QAYUjHEZA,"Godo, Bandit Warlord",PROACTIVE,Deez Nutz,04/04/2021,Active
Pako Turns,URG,https://www.moxfield.com/decks/lJpo9rnp_k6er17Anj-v7g,"Haldan, Avid Arcanist | Pako, Arcane Retriever",PROACTIVE,"chri, jspill0714",05/19/2021,Active
Heliod Combo,W,https://archidekt.com/decks/938479#Heliod_Combo_$500_Budget,"Heliod, Sun-Crowned",ADAPTIVE,18almason,04/25/2021,Active
Ikra Kraum,UBRG,https://www.moxfield.com/decks/agFpPuSsA0CZeqKs0PlVcw,"Ikra Shidiqi, the Usurper | Kraum, Ludevic's Opus",PROACTIVE,Nekrozofbrionac,04/01/2021,Active
Inalla,UBR,https://www.moxfield.com/decks/y72FSSk_c0WTZ-MUk69sNg,"Inalla, Archmage Ritualist",PROACTIVE,Dhampir,06/03/2021,Active
BAD Kaalia,WBR,https://www.moxfield.com/decks/dNJfluB0f0m7N-vut_zZJQ,Kaalia of the Vast,PROACTIVE,_clay_,05/11/2021,Active
Razakats,WUBRG,https://www.moxfield.com/decks/YTaTWYg4_0S2e8pTZrXaqw,"Kenrith, the Returned King",ADAPTIVE,tarotplz,05/01/2021,Active
Hermit Druid,WUBRG,https://www.moxfield.com/decks/PFG_s-y7bUmc_QCLkmm4qw,"Kenrith, the Returned King",DISRUPTIVE,tarotplz,12/05/2020,Active
Consultation Kess,UBR,https://www.moxfield.com/decks/GfQ_caxG2EysgLW-OXifLg,"Kess, Dissident Mage",ADAPTIVE,TimmyT1000,05/28/2021,Active
Fed After Midnight,UR,https://www.moxfield.com/decks/reU5D1fpa0K_RS9rptFg9g,"Krark, the Thumbless | Sakashima of a Thousand Faces",PROACTIVE,BeyondTheMachina,06/02/2021,Active
Half a Seared Sausage,RB,https://www.moxfield.com/decks/NrJF402QLUaM7TVyVIztVw,"Kroxa, Titan of Death's Hunger",PROACTIVE,TheMormonator,05/01/2021,Active
Marwyn MilfStorm,G,https://www.moxfield.com/decks/vifdyaXTgUSnwnGWHfLmEQ,"Marwyn, the Nurturer",PROACTIVE,JaminRam,05/24/2021,Active
Najeela Tempo,WUBRG,https://www.moxfield.com/decks/53XIXJeOWE2l2xpu-isnrg,"Najeela, the Blade-Blossom",PROACTIVE,"Deez Nutz, Jamaican_dude",05/03/2021,Active
Narset,WUR,https://www.moxfield.com/decks/QPJSvDUMZ0mzf1EPhD2WpQ,"Narset, Enlightened Master",ADAPTIVE,"Deez Nutz, Jamaican_dude",05/03/2021,Active
Naru-Meha,U,https://www.moxfield.com/decks/03ksitbfpkaxnKE8KuRiig,"Naru Meha, Master Wizard",PROACTIVE,playingwithpowermtg,04/03/2021,Active
Niv Mizzet,UR,https://www.moxfield.com/decks/sF-dqijHlk26IxmpWX9m8w,"Niv-Mizzet, Parun",DISRUPTIVE,deak,05/01/2021,Active
Rashmi Control,UG,https://www.moxfield.com/decks/xDYvNjwU4kKT-geyyi1y0g,"Rashmi, Eternities Crafter",DISRUPTIVE,Cricket,04/01/2021,Active
"Budget Rog, but still pog",UBR,https://www.moxfield.com/decks/_wRc2-GoNU27Hbs_Zd33iA,"Rograkh, Son of Rohgahh | Silas Renn, Seeker Adept",PROACTIVE,Nekrozofbrionac,04/03/2021,Active
The Hate Dude,RG,https://www.moxfield.com/decks/0-W2UAaQlEW_FIjeiPe6hA,"Ruric Thar, the Unbowed",DISRUPTIVE,Deez Nutz,05/12/2021,Active
Two Tymna Tuesday,WUB,https://www.moxfield.com/decks/Z4cH5j6hXEeUXrt61p1oFA,Sakashima of a Thousand Faces | Tymna the Weaver,ADAPTIVE,Deez Nutz,04/03/2021,Active
Selvala,G,https://archidekt.com/decks/807848#$500_Budget_Selvala,"Selvala, Heart of the Wilds",PROACTIVE,18almason,02/09/2021,Active
Law of Sisay,WUBRG,https://www.moxfield.com/decks/DIc6eyWd90SNUAisWxe2mw,"Sisay, Weatherlight Captain",ADAPTIVE,cEDH_TV,05/03/2021,Active
Meta Pod,WBRG,https://www.moxfield.com/decks/4_Plmjpm9EuiGYC90mqvYw,"Tana, the Bloodsower | Tymna the Weaver",DISRUPTIVE,Deez Nutz,12/05/2020,Active
Tasigur,UBG,https://www.moxfield.com/decks/dOt6re6XhESIxjflV23H1w,"Tasigur, the Golden Fang",DISRUPTIVE,"Jaytron,TimmyT1000",05/28/2021,Active
Taty's Lands/Turns,UG,https://www.moxfield.com/decks/bhfpLyDu3E62OVGMqpcKyw,"Tatyova, Benthic Druid",ADAPTIVE,"BigRichie2004, Deez Nutz, Jamaican_dude",05/03/2021,Active
KCI Teshar,W,https://www.moxfield.com/decks/5DVnXujzf0ihikiAGiIkog,"Teshar, Ancestor's Apostle",PROACTIVE,Mateus_Nogueira,05/03/2021,Active
TnT Consult,WUBG,https://www.moxfield.com/decks/TvKgrLnRRUOf23NzCsyjJw,"Thrasios, Triton Hero | Tymna the Weaver",DISRUPTIVE,Deez Nutz,05/08/2021,Active
Curious Control,UBRG,https://tappedout.net/mtg-decks/budget-4c-curious-control/,"Thrasios, Triton Hero | Vial Smasher the Fierce",DISRUPTIVE,"timmyt1000, Magically_Jenny, jamaican_dude",05/04/2021,Active
Winota: Human Budget Master,WR,https://www.moxfield.com/decks/NJrG5TFwPECR7UWTz6vl0A,"Winota, Joiner of Forces",PROACTIVE,"elementalwisperer, timmyt1000",03/03/2021,Active
Cobra Kai,UB,https://www.moxfield.com/decks/kQPw-I0Yq0KJdZ8ekt752Q,"Yuriko, the Tiger's Shadow",PROACTIVE,MadCatMax,02/03/2021,Active
Consult Alela,WUB,https://tappedout.net/mtg-decks/500-budgeted-alela/,"Alela, Artful Provocateur",ADAPTIVE,"timmyt1000, Magically_Jenny, Jamaican_1",06/03/2020,Archived
